 -2.32380028E+05 -2.44193425E+05 -2.47404958E+05 -2.46133596E+05 -2.47223587E+05  4.37121650E+06 -2.47224240E+05 -2.46134273E+05 -2.47404622E+05 -2.44193604E+05 -2.32380205E+05
 -2.58222428E+05 -2.71940853E+05 -2.75138590E+05 -2.73878802E+05 -2.74956617E+05  4.89684387E+06 -2.74957278E+05 -2.73879490E+05 -2.75138254E+05 -2.71941038E+05 -2.58222609E+05
 -6.87465455E+04 -6.89066381E+04 -7.21332116E+04 -7.08646307E+04 -7.19447065E+04  1.21723177E+06 -7.19453117E+04 -7.08652569E+04 -7.21328651E+04 -6.89067938E+04 -6.87467012E+04
 -7.76344197E+04 -7.84830313E+04 -8.16942694E+04 -8.04382174E+04 -8.15052438E+04  1.37997270E+06 -8.15058579E+04 -8.04388538E+04 -8.16939256E+04 -7.84831916E+04 -7.76345796E+04
 -8.76398332E+04 -8.92488118E+04 -9.24449866E+04 -9.12012166E+04 -9.22554626E+04  1.56490348E+06 -9.22560882E+04 -9.12018647E+04 -9.24446415E+04 -8.92489767E+04 -8.76399971E+04
 -9.88397308E+04 -1.01286682E+05 -1.04468056E+05 -1.03236338E+05 -1.04278061E+05  1.77407840E+06 -1.04278698E+05 -1.03236998E+05 -1.04467710E+05 -1.01286852E+05 -9.88398988E+04
 -1.11315630E+05 -1.14684712E+05 -1.17851535E+05 -1.16631648E+05 -1.17661094E+05  2.00969022E+06 -1.17661742E+05 -1.16632319E+05 -1.17851187E+05 -1.14684886E+05 -1.11315802E+05
 -1.25150528E+05 -1.29533520E+05 -1.32686029E+05 -1.31477762E+05 -1.32495166E+05  2.27399102E+06 -1.32495825E+05 -1.31478445E+05 -1.32685679E+05 -1.29533699E+05 -1.25150704E+05
 -1.40428281E+05 -1.45925749E+05 -1.49064165E+05 -1.47867319E+05 -1.48872906E+05  2.56929132E+06 -1.48873575E+05 -1.47868014E+05 -1.49063813E+05 -1.45925932E+05 -1.40428460E+05
 -1.57236413E+05 -1.63958675E+05 -1.67083211E+05 -1.65897594E+05 -1.66891578E+05  2.89802914E+06 -1.66892258E+05 -1.65898301E+05 -1.67082857E+05 -1.63958862E+05 -1.57236597E+05
 -1.75657720E+05 -1.83727667E+05 -1.86838521E+05 -1.85663952E+05 -1.86646538E+05  3.26246146E+06 -1.86647230E+05 -1.85664670E+05 -1.86838166E+05 -1.83727858E+05 -1.75657908E+05
 -1.95786823E+05 -2.05338865E+05 -2.08436228E+05 -2.07272531E+05 -2.08243916E+05  3.66539041E+06 -2.08244620E+05 -2.07273261E+05 -2.08435872E+05 -2.05339061E+05 -1.95787015E+05
 -2.17705854E+05 -2.28892276E+05 -2.31976326E+05 -2.30823337E+05 -2.31783708E+05  4.10885551E+06 -2.31784424E+05 -2.30824078E+05 -2.31975969E+05 -2.28892476E+05 -2.17706050E+05
 -2.41518701E+05 -2.54505062E+05 -2.57575971E+05 -2.56433527E+05 -2.57383066E+05  4.59619084E+06 -2.57383793E+05 -2.56434282E+05 -2.57575612E+05 -2.54505267E+05 -2.41518901E+05
